brand,year,selling_price,km_driven,fuel_encoded,seller_type_encoded,transmission_encoded,owner_encoded
Fiat,2015,350000,53000,1,1,1,2
Audi,2013,2800000,49000,1,0,0,0
Datsun,2017,210000,15000,4,0,1,2
Volkswagen,2013,450000,50000,4,1,1,0
Audi,2013,1150000,53000,1,0,0,0
Honda,2009,210000,63500,4,0,0,0
Mercedes-Benz,2018,4500000,9800,4,0,0,0
BMW,2017,2750000,13000,1,1,0,0
Volvo,2018,1975000,21000,1,0,0,0
Maruti,2008,175000,29173,4,0,1,0
BMW,2012,2500000,48000,1,0,0,0
Mahindra,2017,628000,120000,1,1,1,0
Hyundai,2010,600000,100000,1,1,1,0
Nissan,2017,399000,30000,4,1,1,0
Mahindra,2018,750000,87000,1,1,1,0
Hyundai,2019,750000,15000,4,1,1,0
Renault,2017,315000,16000,4,1,1,0
Mahindra,2012,600000,60000,1,1,1,0
Maruti,2010,100000,60000,4,1,1,1
Maruti,2011,250000,110000,4,1,1,4
Renault,2017,350000,25000,4,1,1,0
Hyundai,2016,780000,60000,1,1,1,0
Maruti,2014,434000,79350,1,1,1,2
Hyundai,2016,690000,80000,4,1,0,0
Mahindra,2014,555000,90000,1,1,1,2
Maruti,2007,120000,90000,4,1,1,2
Maruti,2014,500000,120000,1,1,1,2
Chevrolet,2013,165000,60000,1,1,1,2
Maruti,2004,95000,50000,4,1,1,0
Maruti,2018,550000,20000,4,1,1,0
Maruti,2007,100000,110000,1,1,1,1
Tata,2012,100000,50000,4,1,1,2
Toyota,2012,500000,100000,1,1,1,0
Maruti,2016,800000,70000,1,1,1,2
Hyundai,2016,840000,70000,1,1,1,2
Honda,2016,490000,50000,4,1,1,0
Tata,2010,125000,81000,1,1,1,2
Chevrolet,2012,400000,120000,1,1,1,4
Chevrolet,2015,1000000,3600,1,0,1,0
Ford,2015,530000,14272,4,0,1,0
Ford,2017,840000,49213,1,0,1,0
Hyundai,2015,229999,40000,4,1,1,0
Maruti,1998,40000,40000,4,1,1,1
Chevrolet,2012,130000,80000,4,1,1,0
Hyundai,2015,200000,70000,4,1,1,0
Tata,2011,120000,70000,1,1,1,0
Hyundai,2003,75000,57000,4,1,1,0
Tata,2016,250000,120000,1,1,1,0
Maruti,2005,100000,30000,4,1,1,0
Hyundai,2013,280000,3240,4,1,1,2
Hyundai,2015,540000,5000,4,1,1,0
Hyundai,2018,700000,10000,4,1,1,0
Maruti,2015,525000,100000,1,1,1,0
Hyundai,2016,430000,80000,1,1,1,0
Hyundai,2002,65000,70000,4,1,1,0
Maruti,2018,800000,35000,1,1,1,0
Hyundai,2007,75000,114000,4,1,1,2
Hyundai,2008,210000,53772,4,1,1,0
Mahindra,2012,195000,140000,1,1,1,2
Chevrolet,2015,400000,120000,1,1,1,0
Hyundai,2012,170000,60000,4,1,1,0
Renault,2016,225000,25000,4,1,1,0
Maruti,2014,210000,90000,3,1,1,0
Maruti,2020,240000,120000,4,1,1,0
Chevrolet,2015,300000,175000,1,1,1,0
Chevrolet,2011,99000,100000,4,1,1,4
Honda,2014,620000,36000,4,1,1,0
Honda,2013,500000,30000,1,1,1,0
Jaguar,2010,2550000,40000,4,1,0,2
Honda,2013,260000,70000,4,1,1,2
Maruti,2017,550000,60000,4,1,1,0
Tata,2011,150000,155500,1,1,1,0
Hyundai,2011,350000,50000,4,1,0,2
Chevrolet,2016,320000,40000,4,1,1,0
Maruti,2015,400000,100000,1,1,1,4
Maruti,2012,175000,80000,4,1,1,4
Chevrolet,2011,120000,90000,4,1,1,2
Renault,2013,320000,90000,1,1,1,2
Hyundai,2006,70000,110000,4,1,1,4
Maruti,2019,810000,15000,4,1,1,0
Maruti,2007,95000,100000,4,1,1,2
Maruti,2020,282000,40000,0,1,1,0
Maruti,2004,80000,60000,4,1,1,2
Tata,2013,72000,25000,4,1,1,0
Hyundai,2016,600000,25000,4,1,1,0
Skoda,2015,640000,23000,4,1,1,0
Maruti,2018,380000,22155,4,1,1,0
Maruti,2018,650000,70000,4,1,1,0
Maruti,2009,150000,60000,4,1,1,2
Hyundai,2009,280000,110000,4,1,1,2
Tata,2018,430000,30000,4,1,1,0
Mahindra,2019,800000,15000,1,1,1,0
Maruti,2003,75000,100000,1,1,1,2
Volkswagen,2016,650000,70000,1,1,0,0
Maruti,2017,390000,24000,4,1,1,0
Honda,2005,100000,120000,4,1,1,2
Mercedes-Benz,2013,1500000,35000,1,1,0,0
Maruti,2007,175000,78380,4,1,1,0
Renault,2012,434999,110000,1,1,1,2
Ford,2010,170000,90000,1,1,1,4
Ford,2011,190000,90000,1,1,1,4
Maruti,2009,250000,150000,1,1,1,4
Mahindra,2009,229999,230000,1,1,1,4
Maruti,2006,140000,70000,4,1,1,4
Maruti,2017,600000,80362,1,1,1,0
Hyundai,2012,280000,110000,4,1,1,4
Chevrolet,2012,150000,60000,1,1,1,0
Chevrolet,2015,650000,50000,1,1,0,0
Nissan,2014,210000,40000,4,1,1,2
BMW,2017,2900000,40000,1,1,0,0
Chevrolet,2013,425000,20000,1,0,1,0
Hyundai,2014,265000,55000,4,0,1,0
Fiat,2018,890000,1136,4,0,1,0
Renault,2013,365000,55000,4,0,1,0
Ford,2014,350000,43000,4,0,1,0
Maruti,2016,685000,60000,1,1,1,0
Skoda,2018,940000,2650,1,0,1,0
Mahindra,2017,1000000,40000,1,1,1,0
Mahindra,2019,1150000,15000,4,0,1,0
Maruti,2016,450000,115962,1,1,1,2
Nissan,2015,590000,65000,1,0,1,0
Maruti,2017,800000,40000,1,1,1,0
Hyundai,2012,385000,58000,1,0,1,0
Mercedes-Benz,2013,2000000,15000,1,1,0,0
Hyundai,2012,235000,54000,4,0,1,0
Volkswagen,2017,640000,56000,1,0,1,0
Maruti,2006,52000,120000,4,1,1,4
Maruti,2009,80000,90000,3,1,1,2
Maruti,2012,140000,70000,4,1,1,2
Hyundai,2008,120000,90000,4,1,1,2
Mahindra,2008,89999,213000,1,1,1,0
Chevrolet,2012,180000,120000,1,1,1,0
Mahindra,2017,1500000,20000,1,1,1,0
Hyundai,2017,700000,10000,4,1,1,0
Maruti,2012,285000,80000,1,1,1,2
Hyundai,2015,390000,90000,4,1,1,0
Maruti,2008,125000,80000,4,1,1,0
Maruti,2008,225000,60000,4,1,1,2
Hyundai,2011,175000,139000,4,1,1,2
Toyota,2011,1075000,160000,1,1,1,2
Honda,2014,300000,150000,1,1,1,0
Toyota,2010,700000,163000,1,1,1,1
Tata,2009,90000,120000,1,0,1,0
Tata,2011,120000,120000,1,1,1,2
Chevrolet,2012,220000,100000,1,1,1,2
Tata,2015,300000,140000,1,0,1,0
Skoda,2010,180000,87000,1,0,1,2
Maruti,2013,170000,70000,4,1,1,0
Ford,2015,300000,50000,4,1,1,2
Toyota,2014,1050000,70000,1,1,1,0
Hyundai,2018,465000,25000,1,1,1,0
Chevrolet,2011,130000,80000,1,1,1,2
Datsun,2018,434999,10000,4,1,1,0
Hyundai,2018,500000,32000,4,1,1,0
Maruti,2018,200000,10000,4,1,1,0
Maruti,2017,625000,52000,4,0,1,0
Ford,2006,110000,120000,1,1,1,4
Hyundai,2019,800000,11240,4,1,1,0
Hyundai,2017,490000,66000,1,0,1,0
Maruti,2017,880000,64000,1,0,1,0
Hyundai,2013,290000,49000,4,1,1,0
Tata,2006,115999,100000,1,1,1,2
Renault,2018,360000,26500,4,1,1,0
Maruti,2002,65000,100000,4,1,1,2
Maruti,2017,685000,72000,1,0,1,0
Honda,2009,300000,50000,4,1,1,0
Hyundai,2017,680000,44000,1,0,1,0
Maruti,2017,1000000,60000,1,1,1,2
Tata,2002,100000,120000,1,1,1,0
Mahindra,2010,160000,130000,1,1,1,0
Maruti,2017,450000,70000,1,1,1,0
Maruti,2014,600000,20000,4,1,1,0
Hyundai,2009,180000,60000,1,1,1,2
Maruti,2007,100000,195000,4,1,1,0
Maruti,2010,120000,90000,4,1,1,2
Hyundai,2006,130000,80000,4,1,1,4
Maruti,2011,160000,155000,4,1,1,0
Mahindra,2019,860000,35000,1,1,1,0
Hyundai,2018,650000,20000,4,1,1,2
Maruti,2010,100000,80000,4,1,1,2
Maruti,2017,282000,20000,4,1,1,0
Hyundai,2009,300000,50000,4,1,1,0
Hyundai,2010,270000,110000,4,1,1,2
Hyundai,2013,550000,29000,1,1,1,0
Mahindra,2013,450000,120000,1,1,1,0
Mahindra,2011,430000,70000,1,1,1,2
Maruti,2013,350000,40000,4,1,1,0
Honda,2017,350000,20000,4,1,1,0
Toyota,2013,229999,50000,4,1,1,2
Maruti,2013,110000,50000,4,1,1,0
Maruti,2012,395000,49000,4,1,1,2
Mahindra,2011,650000,70000,1,1,0,2
Mahindra,2011,350000,90000,1,1,1,2
Mahindra,2020,1400000,25000,1,0,1,0
Tata,2018,360000,4000,4,1,1,0
Mahindra,2018,1300000,10000,1,1,1,0
Renault,2015,800000,15000,1,1,1,0
Hyundai,2018,229999,30000,4,1,1,0
Maruti,2014,315000,41000,4,0,1,0
Chevrolet,2012,125000,28000,4,1,1,0
Maruti,2019,700000,16000,4,1,1,0
Hyundai,2015,160000,70000,4,1,1,0
Ford,2017,530000,10832,4,0,1,0
Ford,2018,624000,14681,1,0,1,0
Hyundai,2009,250000,50000,4,1,1,0
Mahindra,2016,585000,51000,1,0,1,0
Hyundai,2015,500000,25000,4,1,1,0
Chevrolet,2014,350000,30000,4,1,1,0
Honda,2014,495000,80000,1,0,1,0
Hyundai,2017,500000,50000,4,1,1,0
Mahindra,2015,430000,200000,1,1,1,0
Hyundai,2013,345000,44000,4,0,1,0
Maruti,2015,500000,10000,4,1,1,0
Tata,2019,425000,19600,4,1,1,0
Maruti,2005,80000,40000,4,1,1,2
Chevrolet,2011,106000,50000,1,1,1,0
Maruti,2009,180000,46730,4,1,1,0
Datsun,2015,250000,40000,4,1,1,2
Skoda,2011,350000,80000,1,1,1,0
Maruti,2002,60000,80000,4,1,1,2
Hyundai,2018,900000,24000,1,1,1,0
Ford,2017,700000,21170,1,0,1,0
BMW,2013,2000000,167223,1,0,0,0
Maruti,2017,1000000,40000,1,1,1,0
BMW,2011,1375000,60000,1,1,0,0
Toyota,2016,1800000,141440,1,0,1,0
Chevrolet,2007,160000,120000,1,1,1,4
Mitsubishi,2012,525000,140000,4,1,0,0
Mahindra,2012,850000,212814,1,0,1,0
Maruti,2019,800000,30000,1,1,1,0
Ford,2017,700000,88635,1,0,1,0
Maruti,2018,800000,25000,1,1,1,0
Hyundai,2017,575000,20000,4,1,1,2
Renault,2012,350000,110000,1,1,1,2
Maruti,2008,250000,120000,1,1,1,4
Ford,2011,600000,149674,1,0,1,2
Mahindra,2007,370000,100000,1,1,1,4
Maruti,2006,80000,120000,4,1,1,4
Tata,2003,50000,120000,1,1,1,2
Hyundai,2018,900000,25000,1,1,1,0
Maruti,2014,300000,35000,4,1,1,2
Tata,2002,125000,40000,4,1,1,0
Maruti,2015,490000,60000,1,1,1,2
Toyota,2012,300000,50000,1,1,1,2
Tata,2013,55000,25000,4,1,1,1
Hyundai,2016,350000,25000,4,1,1,0
Hyundai,2019,755000,8000,1,1,1,0
Maruti,2017,720000,60000,1,1,1,0
Mahindra,2006,229999,200000,1,1,1,4
Mahindra,2018,1100000,20000,1,1,1,0
Volkswagen,2013,400000,100000,4,1,1,0
Hyundai,2015,350000,70000,1,1,1,2
Chevrolet,2012,159000,68000,1,0,1,0
Maruti,2017,550000,38000,4,0,1,0
Maruti,2013,335000,80000,1,0,1,0
Tata,2014,185000,72000,0,0,1,0
Maruti,2012,229999,75000,0,0,1,0
Maruti,2014,225000,43000,4,0,1,0
Maruti,2007,250000,120000,4,1,1,2
Tata,2015,400000,100000,1,1,1,0
Maruti,2014,470000,163000,1,1,1,0
Maruti,2018,300000,25000,4,1,0,0
Maruti,2011,145000,25000,4,1,1,0
Maruti,2007,100000,90000,4,1,1,2
Mahindra,2014,500000,70000,1,1,1,2
Hyundai,2010,130000,98000,0,1,1,2
Chevrolet,2010,240000,81925,1,1,1,0
Ford,2013,150000,80000,1,1,1,2
Renault,2017,270000,40000,4,1,1,0
Maruti,2014,400000,90000,1,1,1,0
Hyundai,2012,200000,46000,4,1,1,0
Mahindra,2012,550000,80000,1,1,1,0
Renault,2018,325000,35000,4,1,1,0
Skoda,2017,860000,82080,1,1,0,0
Mahindra,2012,600000,200000,1,1,1,0
Chevrolet,2009,125000,70000,4,1,1,0
Maruti,2000,60000,40000,4,1,1,4
Chevrolet,2010,300000,120000,1,1,1,4
Ford,2007,190000,60000,4,1,1,4
Maruti,2013,400000,110000,1,1,1,0
Tata,2011,260000,97000,1,1,1,2
Maruti,2017,400000,30000,4,1,1,0
Hyundai,2010,250000,40000,4,1,1,0
Hyundai,2019,600000,10000,4,1,1,0
Maruti,2010,175000,52047,4,1,1,0
Toyota,2011,450000,200000,1,1,1,4
Tata,2019,350000,15000,4,1,0,2
Maruti,2018,800000,50000,1,1,1,0
Maruti,2011,250000,70000,4,1,1,2
Maruti,2019,600000,10000,4,1,1,0
Maruti,2017,600000,90000,1,1,1,0
Maruti,2016,130000,40000,4,1,1,0
Maruti,2006,90000,62009,4,1,1,2
Hyundai,2017,595000,33100,4,1,1,2
Hyundai,2014,190000,40000,4,1,1,2
Hyundai,1999,50000,120000,4,1,1,2
Maruti,2007,95000,80000,4,1,1,0
Tata,2016,1000000,70000,1,1,1,0
Mahindra,2006,220000,220000,4,1,1,2
Mahindra,2010,400000,50000,1,1,1,0
Datsun,2015,315000,45000,4,1,1,2
Toyota,2014,1000000,110000,1,1,1,0
Ford,2014,500000,49000,1,1,1,0
Mahindra,2018,1600000,35000,1,1,0,0
Mahindra,2017,500000,160000,1,1,1,0
Maruti,2007,70000,180000,4,1,1,4
Maruti,2007,105000,60000,4,1,1,2
Ford,2008,400000,110000,1,1,1,4
Maruti,2004,80000,60000,4,1,1,4
Maruti,2016,300000,30000,4,1,1,0
Mahindra,2017,409999,40000,1,1,1,0
Maruti,2009,250000,70000,4,1,1,0
Tata,2010,250000,120000,1,1,1,2
Maruti,2012,215000,80000,1,1,1,4
Toyota,2015,1400000,120000,1,1,1,0
Honda,2018,475000,20000,4,1,1,0
Honda,2018,475000,22000,4,1,1,0
Chevrolet,2008,75000,35000,4,1,1,2
Chevrolet,2013,200000,120000,1,1,1,2
Tata,2019,575000,8000,4,1,1,0
Maruti,2011,150000,40000,1,1,1,2
Maruti,2018,850000,10000,1,1,1,0
Hyundai,2019,350000,30000,4,1,1,0
Ford,2011,550000,54000,1,1,1,2
Hyundai,2017,330000,80577,4,1,1,0
Honda,2017,1044999,25000,1,1,1,0
Hyundai,2011,300000,127500,1,1,1,2
Hyundai,2015,235000,40903,4,0,1,0
Ford,2011,120000,60000,4,1,1,4
Maruti,2004,130000,46000,4,1,1,0
Ford,2004,275000,22288,1,0,1,2
Volkswagen,2011,270000,180000,1,1,1,2
Volkswagen,2015,500000,30000,1,1,1,2
Hyundai,2015,400000,61690,4,0,1,0
Hyundai,2015,600000,64484,4,0,1,0
Audi,2012,1350000,90000,1,1,0,2
Renault,2013,400000,75976,1,0,1,2
Ford,2011,220000,70000,1,1,1,2
Honda,2012,300000,85962,4,0,1,2
Maruti,2018,250000,120000,4,1,1,0
Honda,2015,600000,120000,1,1,1,0
Honda,2012,285000,75000,4,1,0,2
Honda,2009,350000,57035,4,0,1,0
Mahindra,2011,170000,70000,1,1,1,4
Ford,2015,229999,45000,4,1,1,0
Mahindra,2013,500000,72104,1,0,1,2
Tata,2011,75000,15000,4,1,1,0
Hyundai,2016,600000,30000,4,1,1,0
Tata,2011,220000,80000,1,1,1,0
Tata,2009,150000,164000,1,1,1,2
Maruti,2006,65000,124439,4,1,1,2
Maruti,2006,120000,77000,4,1,1,2
Maruti,2014,240000,90000,1,1,1,0
Renault,2017,390000,30000,4,1,1,0
Chevrolet,2012,180000,50000,4,1,1,0
Maruti,2012,320000,80000,1,1,1,2
Maruti,2018,310000,5000,4,1,1,0
Maruti,2018,420000,24000,4,1,0,0
Tata,2019,550000,10000,4,1,1,0
Maruti,2016,550000,78000,1,1,1,4
Mahindra,2018,760000,50000,1,1,1,0
Maruti,2001,43000,100000,4,1,1,2
Maruti,2018,250000,20000,4,1,1,0
Hyundai,2019,500000,1250,4,1,1,0
Tata,2015,380000,17152,4,1,1,0
Mahindra,2019,1850000,5000,1,1,0,0
Volkswagen,2012,350000,77000,1,1,1,0
Hyundai,2008,195000,90000,1,1,1,2
Chevrolet,2011,225000,80000,4,1,1,2
Toyota,2015,1125000,65000,1,1,1,0
Tata,2011,133000,80000,1,1,1,0
Hyundai,2013,200000,24005,4,1,1,0
Maruti,2018,940000,20000,1,1,1,0
Renault,2014,400000,120000,1,1,1,0
Hyundai,2009,120000,120000,4,1,1,2
Maruti,2015,625000,80000,1,1,1,0
Maruti,2005,110000,80000,4,1,1,0
Renault,2012,490000,100000,1,1,1,0
Maruti,2009,140000,120000,4,1,1,2
Ford,2011,175000,149000,1,1,1,2
Maruti,2005,90000,65000,4,1,1,2
Maruti,2009,275000,100000,1,1,1,2
Volkswagen,2011,300000,65000,1,1,1,2
Datsun,2018,270000,19000,4,1,1,2
Chevrolet,2010,130000,80000,4,1,1,2
Maruti,2015,275000,30000,4,1,1,0
Maruti,2012,352000,109000,1,1,1,0
Hyundai,2012,180000,90000,3,1,1,0
Maruti,2012,150000,90000,4,1,1,0
Maruti,2010,300000,110000,1,1,1,2
Mahindra,2007,225000,120000,1,1,1,0
Honda,2014,600000,44000,1,1,1,0
Maruti,2015,500000,80000,4,1,1,0
Honda,2018,900000,5000,4,1,1,0
Hyundai,2016,600000,61000,4,1,1,0
Toyota,2011,450000,100000,1,1,1,2
Hyundai,2009,270000,27633,4,1,1,0
Maruti,2010,310000,100000,1,1,1,4
Hyundai,2012,250000,100000,3,1,1,0
Ford,2019,700000,12586,4,0,1,0
Fiat,2018,650000,38083,1,0,1,0
Ford,2012,400000,55328,1,0,1,0
Ford,2012,425000,81632,1,0,1,0
Ford,2016,600000,155201,1,0,1,0
Ford,2013,600000,93283,1,0,1,0
Maruti,2009,300000,217871,1,0,1,0
Ford,2012,450000,90165,1,0,1,0
Ford,2014,750000,101504,1,0,1,0
Ford,2010,325000,86017,1,0,1,2
Mahindra,2013,900000,85036,1,0,1,2
Ford,2006,180000,91086,4,0,1,2
Fiat,2013,350000,160254,1,0,1,2
Ford,2013,600000,125531,1,0,1,2
Honda,2019,900000,60000,1,1,1,0
Skoda,2006,350000,100000,1,1,1,0
Maruti,2013,280000,90000,1,1,1,4
Mahindra,2009,225000,120000,1,1,1,2
Honda,2014,520000,82000,1,1,1,0
Mahindra,2016,509999,60000,1,1,1,0
Maruti,2019,556000,24000,4,1,1,0
Tata,2014,225000,120000,1,1,1,0
Honda,2013,325000,65000,1,0,1,0
Maruti,2013,365000,65000,1,0,1,0
Hyundai,2015,850000,84000,1,0,1,0
Toyota,2013,350000,75000,1,0,1,0
Maruti,2007,225000,50000,1,0,1,0
Maruti,2011,135000,50000,4,1,1,0
Maruti,2007,140000,49000,4,0,1,0
Maruti,2016,665000,560000,1,0,1,0
Renault,2015,275000,14365,4,0,1,0
Toyota,2017,2750000,41000,1,1,0,0
Hyundai,2013,484999,65000,1,0,1,0
Maruti,2015,565000,65000,1,0,1,0
Maruti,2013,425000,61083,1,0,1,0
Toyota,2013,925000,75000,1,1,1,0
Mahindra,2012,565000,72000,1,0,1,0
Renault,2014,525000,65000,1,0,1,0
Hyundai,2017,1650000,55000,1,0,1,0
Hyundai,2015,295000,21000,4,0,1,2
Jaguar,2012,2050000,66363,4,0,0,2
Hyundai,2018,1475000,11700,4,0,0,0
Hyundai,2017,1100000,10000,4,1,0,0
Mercedes-Benz,2014,4400000,100000,1,1,0,2
Maruti,2016,670000,7104,4,2,1,0
Maruti,2015,750000,45974,1,2,1,0
Hyundai,2015,760000,55340,4,2,1,0
Volkswagen,2017,850000,20000,4,0,0,2
Renault,2015,390000,61585,1,2,1,0
Maruti,2016,450000,39415,4,2,0,2
Honda,2014,425000,29654,4,2,1,0
Maruti,2016,770000,64672,1,2,1,0
Hyundai,2015,1150000,54634,1,2,0,2
Honda,2015,775000,66521,4,2,1,0
Toyota,2018,1725000,23974,1,0,0,2
BMW,2016,2150000,43000,1,0,0,0
Renault,2013,450000,1000,1,0,1,2
Mercedes-Benz,2018,3800000,10000,1,0,0,0
Audi,2013,1580000,86000,1,0,0,0
BMW,2019,4950000,30000,1,0,0,0
Hyundai,2016,535000,52600,1,1,1,0
Maruti,2012,225000,110000,4,1,1,2
Hyundai,2017,550000,19890,4,0,0,0
Maruti,2015,625000,11918,4,2,1,0
Hyundai,2017,520000,10510,4,0,0,0
Chevrolet,2016,239000,41000,4,0,1,0
Toyota,2017,2600000,47162,1,2,0,0
Hyundai,2012,229999,49824,4,0,1,0
Audi,2013,1300000,58500,1,0,0,0
Hyundai,2005,80000,56580,4,0,1,0
Skoda,2012,385000,52000,1,0,1,0
Maruti,2017,600000,46507,1,2,1,0
Hyundai,2013,350000,50000,4,1,1,2
Maruti,2014,114999,30000,4,1,1,0
Hyundai,2013,380000,50000,4,1,1,2
Maruti,1995,95000,100000,4,1,1,2
Mahindra,2016,900000,35000,1,1,1,0
Chevrolet,2012,200999,90000,4,1,1,2
Maruti,2014,229999,11451,4,1,1,0
Tata,2019,800000,60000,1,1,1,0
Mahindra,2012,150000,172000,1,1,1,2
Maruti,2018,600000,60000,1,1,1,0
Chevrolet,2005,150000,150000,1,1,1,0
Chevrolet,2009,150000,66000,1,1,1,0
Maruti,2019,380000,5000,4,1,1,0
Maruti,2006,80000,66508,4,1,1,2
Honda,2007,225000,55000,4,1,1,2
Tata,2012,75000,29900,4,1,1,0
Tata,2017,1600000,3000,1,1,1,0
Tata,2012,185000,85000,1,1,1,0
Mahindra,2011,425000,50000,1,1,1,0
Tata,2010,100000,120000,1,1,1,2
Maruti,2008,140000,90000,4,1,1,4
Maruti,2017,710000,8000,4,1,0,0
Honda,2015,450000,7900,4,1,0,0
Datsun,2017,210000,50000,4,1,1,0
Maruti,2016,270000,25000,4,1,1,0
Maruti,2009,110000,20000,4,1,1,0
Maruti,2018,540000,17500,4,1,1,0
Mahindra,2008,145000,25000,4,1,1,0
Tata,2013,360000,206500,1,1,1,0
Hyundai,2013,250000,88600,3,1,1,0
Tata,2012,110000,80000,1,1,1,0
Chevrolet,2008,250000,100000,1,1,1,1
Ford,2011,150000,186000,1,1,1,2
Chevrolet,2010,140000,60000,4,1,1,0
Maruti,2019,925000,11000,4,1,1,0
Tata,2017,969999,30000,1,1,1,0
Hyundai,2007,90000,80000,0,1,1,4
Hyundai,2001,55000,60000,4,1,1,4
Hyundai,2007,155000,100000,1,1,1,1
Mahindra,2019,900000,15000,1,1,1,0
Maruti,2011,135000,90000,4,1,1,0
Maruti,2012,180000,120000,4,1,1,0
Hyundai,2013,495000,100000,1,1,1,2
Toyota,2009,400000,138000,1,1,1,4
Hyundai,2008,250000,110000,1,1,1,2
Maruti,2015,138000,120000,4,1,1,1
Honda,2011,311000,70000,4,1,0,2
Maruti,2015,190000,70000,4,1,1,0
Mahindra,2011,311000,140000,1,1,1,0
Maruti,2009,300000,15000,4,1,1,0
Honda,2018,600000,20000,4,1,1,0
Mahindra,2009,550000,100000,1,1,1,0
Skoda,2015,600000,70000,4,1,0,0
Maruti,2018,195000,5000,4,1,1,0
Tata,2013,58000,27974,4,1,1,0
Maruti,2018,183000,40000,4,1,1,0
Maruti,2013,250000,38000,4,1,1,0
Tata,2014,400000,35000,4,1,1,0
Hyundai,2012,409999,60000,1,1,1,2
Skoda,2004,120000,120000,1,1,1,2
Maruti,2018,600000,18000,4,1,0,0
Honda,2016,600000,10000,4,1,1,0
Mahindra,2015,825000,90000,1,1,1,4
Toyota,2016,625000,80000,1,1,1,2
Hyundai,2020,700000,1400,1,1,1,0
Chevrolet,2011,160000,60000,4,1,1,0
Maruti,2011,114999,60000,4,1,1,4
Maruti,2009,150000,53000,4,1,1,0
